run_id,run_name,state,lr_rew,gradient_steps_rew,batch_size_rew,fragment_length,fragmenter_type,labels_type,net_arch,total_queries,successes,timeouts,collisions,ep_length,ep_avg_speed,ep_env_return,ep_fast_return,spearman_seg1,spearman_seg5,spearman_seg20,spearman_segNone,acc_val,acc_train,acc_gap,loss_val,mean_true_reward,mean_model_reward,time_train_rew_model
0no0iiii,ppo_chri binary_bernulli seg1 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[32, 32]",10000,0.0,1.0,0.0,600.0,0.31108749945314607,-6.924644847710926,-116.0731717565524,0.8032552766196308,0.6052249534325419,0.4305032571676435,-0.014392873886544772,0.509313702583313,0.5366834402084351,0.02736973762512207,0.6848070621490479,-100.62598799487004,0.3676510751247406,6.361539602046832
dgkdxdp2,ppo_chri binary_bernulli seg1 tot_queries=100000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[32, 32]",100000,0.6874999999999999,0.0,0.3125,132.1875,22.816287739396326,-0.2762454990297557,25.916124907032938,0.8033029576621268,0.6802092137304087,0.8728040834183997,0.9483591186122832,0.5119500160217285,0.5197499990463257,0.007799983024597168,0.6829131841659546,32.8057044647714,0.4222974181175232,6.284871811047196
jxn066my,ppo_chri binary_bernulli seg1 tot_queries=50000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[32, 32]",50000,0.6969696969696968,0.0,0.2727272727272727,119.3939393939394,20.125288239556095,-0.19347619829755835,27.58834281168564,0.7969136979676666,0.6849895654200692,0.8723360211658652,0.8733942803563057,0.5199999809265137,0.5282999873161316,0.00830000638961792,0.6808475852012634,27.573086310476924,-0.124424047768116,6.099384645931423
k627fstc,ppo_chri binary_bernulli seg1 tot_queries=50000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[128, 128]",50000,0.7727272727272728,0.0,0.2272727272727273,167.90909090909088,17.621603697153496,-0.19210952520370472,28.145027764888507,0.7966276117126908,0.6113625406521813,0.6336902811524835,0.04423347398030943,0.5074999928474426,0.5174750089645386,0.009975016117095947,0.6872251629829407,31.833815964435377,0.09875952452421188,6.297177094966173
ktoeh515,ppo_chri soft seg1 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,soft,"[128, 128]",10000,0.9545454545454544,0.0,0.045454545454545456,175.72727272727272,20.904304062944902,0.9968006367033178,50.27706860412421,0.8156182897810863,0.6845571717998988,0.7219440189476708,0.5104313173933427,0.9284313917160034,0.9244974851608276,-0.003933906555175781,0.683871328830719,28.17719656972169,-0.4669634997844696,5.2926088909152895
ps8v9qh8,ppo_chri binary_bernulli seg1 tot_queries=100000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[128, 128]",100000,0.6388888888888888,0.0,0.27777777777777785,114.19444444444449,20.5346732817584,0.25633460945553255,23.442008078790547,0.8036980291570934,0.6499957095210086,0.6190543345636168,0.656797937177684,0.5172500014305115,0.5164750218391418,-0.0007749795913696289,0.6836734414100647,25.562243108058848,-0.27901652455329895,7.0596509128808975
xe1846v1,ppo_chri binary_bernulli seg1 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,binary_bernulli,"[128, 128]",10000,0.07017543859649122,0.0,0.912280701754386,73.61403508771929,17.414513134851653,0.5482568594447353,-34.308418606172076,0.8049649825719863,0.8781253824294715,0.7217699958024978,0.4668307548054384,0.5284313559532166,0.57097989320755,0.042548537254333496,0.6642547249794006,-37.33570741022125,0.3608529269695282,5.9454360390082
ywa6jvjx,ppo_chri soft seg1 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,1.0,active,soft,"[32, 32]",10000,0.8636363636363636,0.0,0.13636363636363635,160.4090909090909,18.824017737130617,-0.07834223996509203,40.708861531632934,0.8154548119211001,0.7246736910045882,0.724296331806562,0.5500468823253634,0.9558823704719543,0.9638190865516664,0.007936716079711914,0.6806104183197021,44.75474507804572,0.2174857258796692,5.107841618126258
fpxug85o,ppo_chri soft seg1 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,soft,"[128, 128]",10000,0.8518518518518516,0.0,0.14814814814814817,150.96296296296296,23.306620040075387,0.1903713102693911,42.422873406065705,0.8149098857211461,0.7234665921482794,0.7180374993784407,0.545616502578528,0.9480392336845398,0.9469849467277528,-0.0010542869567871094,0.6874364018440247,34.59050487663743,-0.22047661244869232,6.586864290991798
e1yawevq,ppo_chri binary_bernulli seg1 tot_queries=100000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[128, 128]",100000,0.774193548387097,0.0,0.22580645161290316,131.6129032258064,18.4193096775373,-0.3245267618087031,33.39217436748236,0.8085206260266858,0.610053348857777,0.6611319309068449,0.3348101265822785,0.5078499913215637,0.5124499797821045,0.0045999884605407715,0.6872324347496033,43.640710489266056,0.05064363032579422,8.325376513879746
relwykke,ppo_chri binary_bernulli seg1 tot_queries=50000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[128, 128]",50000,0.5757575757575757,0.0,0.42424242424242425,122.15151515151516,17.991803745456487,-0.4208397178938893,11.014135394211344,0.8116403285214224,0.8530765797943279,0.8496650059084899,0.9323253633380216,0.5001999735832214,0.5196750164031982,0.019475042819976807,0.6873540282249451,23.130129926150072,0.05505175143480301,6.705102985026315
