method,budget,seed,mean_return,success_rate,collision_rate,off_road_rate,timeout_rate,other_rate,mean_speed,mean_ep_length,run_name
Hybrid-Bernoulli,10,2,39.62400059753092,0.805,0.175,0.02,0.0,0.0,22.11978500307711,147.73,th_1mh4iq5_hybrid_bern_B10-seed2
Hybrid-Bernoulli,10,3,43.786479483903506,0.865,0.115,0.02,0.0,0.0,21.38946326856296,154.305,th_1mh4iq5_hybrid_bern_B10-seed3
Hybrid-Bernoulli,10,4,41.395352609304744,0.82,0.165,0.015,0.0,0.0,22.03389677064546,150.575,th_1mh4iq5_hybrid_bern_B10-seed4
Hybrid-Bernoulli,10,5,43.6682312864282,0.855,0.11,0.035,0.0,0.0,21.793955808113864,152.3,th_1mh4iq5_hybrid_bern_B10-seed5
Hybrid-Bernoulli,10,6,48.8955126801799,0.915,0.075,0.01,0.0,0.0,22.213962381020398,157.46,th_1mh4iq5_hybrid_bern_B10-seed6
Hybrid-Bernoulli,10,7,43.002733320952956,0.86,0.13,0.01,0.0,0.0,20.880398322261893,161.79,th_1mh4iq5_hybrid_bern_B10-seed7
Hybrid-Bernoulli,10,8,32.67222428066992,0.75,0.22,0.03,0.0,0.0,20.743539255032374,144.57,th_1mh4iq5_hybrid_bern_B10-seed8
Hybrid-Bernoulli,10,9,42.07166381978679,0.85,0.14,0.01,0.0,0.0,21.8146712894755,148.785,th_1mh4iq5_hybrid_bern_B10-seed9
Hybrid-Bernoulli,10,10,39.35287608885971,0.905,0.085,0.01,0.0,0.0,17.001184197710213,197.655,th_1mh4iq5_hybrid_bern_B10-seed10
Hybrid-Bernoulli,100,1,47.43048685125697,0.91,0.07,0.02,0.0,0.0,21.763043686171656,167.655,th_1mh4_hybrid_bern_B100-seed1
Hybrid-Bernoulli,100,2,45.688938410661166,0.88,0.1,0.02,0.0,0.0,21.719155477711666,156.05,th_1mh4_hybrid_bern_B100-seed2
Hybrid-Bernoulli,100,3,43.10077451251102,0.85,0.125,0.025,0.0,0.0,21.24601224243611,156.76,th_1mh4_hybrid_bern_B100-seed3
Hybrid-Bernoulli,100,4,47.191119371340804,0.91,0.055,0.035,0.0,0.0,21.401574671946165,163.705,th_1mh4_hybrid_bern_B100-seed4
Hybrid-Bernoulli,100,5,47.09424588963877,0.89,0.095,0.015,0.0,0.0,21.83265983533628,149.06,th_1mh4_hybrid_bern_B100-seed5
Hybrid-Bernoulli,100,6,45.87624997355024,0.91,0.075,0.015,0.0,0.0,20.253472012066577,165.71,th_1mh4_hybrid_bern_B100-seed6
Hybrid-Bernoulli,100,7,46.43966589110301,0.915,0.065,0.02,0.0,0.0,20.53823259639116,168.78,th_1mh4_hybrid_bern_B100-seed7
Hybrid-Bernoulli,100,8,42.11793721851834,0.83,0.16,0.01,0.0,0.0,22.950128480070934,146.295,th_1mh4_hybrid_bern_B100-seed8
Hybrid-Bernoulli,100,9,46.8923772438673,0.905,0.095,0.0,0.0,0.0,21.863683567645438,164.185,th_1mh4_hybrid_bern_B100-seed9
Hybrid-Bernoulli,100,10,45.951475370130694,0.87,0.115,0.015,0.0,0.0,22.97629569512485,150.89,th_1mh4_hybrid_bern_B100-seed10
Hybrid-Bernoulli,1000,1,45.554957476518524,0.89,0.1,0.01,0.0,0.0,21.23650335895952,157.825,th_1mh4_hybrid_bern_B1000-seed1
Hybrid-Bernoulli,1000,2,45.24490498322332,0.875,0.1,0.025,0.0,0.0,22.027614101829613,158.88,th_1mh4_hybrid_bern_B1000-seed2
Hybrid-Bernoulli,1000,3,20.451485692490063,0.6,0.385,0.015,0.0,0.0,20.309937381451643,139.83,th_1mh4_hybrid_bern_B1000-seed3
Hybrid-Bernoulli,1000,4,48.70464087243167,0.915,0.065,0.02,0.0,0.0,22.192834916421912,157.815,th_1mh4_hybrid_bern_B1000-seed4
Hybrid-Bernoulli,1000,5,48.15737006067773,0.91,0.075,0.015,0.0,0.0,21.873259489924365,162.19,th_1mh4_hybrid_bern_B1000-seed5
Hybrid-Bernoulli,1000,6,45.045245209790956,0.89,0.11,0.0,0.0,0.0,20.888395556161143,158.95,th_1mh4_hybrid_bern_B1000-seed6
Hybrid-Bernoulli,1000,7,44.13104947869348,0.86,0.13,0.01,0.0,0.0,21.64197324286581,153.41,th_1mh4_hybrid_bern_B1000-seed7
Hybrid-Bernoulli,1000,8,40.25663460723857,0.8,0.19,0.01,0.0,0.0,22.8338646387262,144.945,th_1mh4_hybrid_bern_B1000-seed8
Hybrid-Bernoulli,1000,9,43.842626144223416,0.885,0.105,0.01,0.0,0.0,19.833714697302725,164.695,th_1mh4_hybrid_bern_B1000-seed9
Hybrid-Bernoulli,1000,10,47.87520227282743,0.905,0.09,0.005,0.0,0.0,22.084297871670056,156.015,th_1mh4_hybrid_bern_B1000-seed10
NB-soft,10,1,26.539992057352446,0.7,0.29,0.01,0.0,0.0,19.378431754534756,135.81,th_1mh4iq5_unw_soft_B10-seed1
NB-soft,10,2,44.90438931666744,0.855,0.13,0.015,0.0,0.0,23.171050482085455,148.26,th_1mh4iq5_unw_soft_B10-seed2
