method,budget,seed,mean_return,success_rate,collision_rate,off_road_rate,timeout_rate,other_rate,mean_speed,mean_ep_length,run_name
NB-Bernoulli,100,5,-47.45190422246124,0.0,0.475,0.525,0.0,0.0,18.94130462997438,11.5,th_1mh4_unw_bern_B100-seed5
NB-Bernoulli,100,6,26.62700203170578,0.775,0.195,0.005,0.025,0.0,16.378808842413505,182.195,th_1mh4_unw_bern_B100-seed6
NB-Bernoulli,100,7,-46.45780302257979,0.005,0.415,0.58,0.0,0.0,14.664065637012968,17.035,th_1mh4_unw_bern_B100-seed7
NB-Bernoulli,100,8,-50.79300832417448,0.0,0.07,0.93,0.0,0.0,7.909389717329779,14.88,th_1mh4_unw_bern_B100-seed8
NB-Bernoulli,100,9,-52.615299395790004,0.0,0.055,0.945,0.0,0.0,4.876841518774621,17.755,th_1mh4_unw_bern_B100-seed9
NB-Bernoulli,100,10,-49.76087907254468,0.0,0.185,0.815,0.0,0.0,11.460068478781126,2.21,th_1mh4_unw_bern_B100-seed10
NB-Bernoulli,1000,1,40.72611094391087,0.905,0.095,0.0,0.0,0.0,17.548295518057277,198.02,th_1mh4_unw_bern_B1000-seed1
NB-Bernoulli,1000,2,46.2615055233826,0.87,0.125,0.005,0.0,0.0,23.043712884921195,149.67,th_1mh4_unw_bern_B1000-seed2
NB-Bernoulli,1000,3,38.84262840507637,0.82,0.105,0.025,0.05,0.0,21.001982257406663,171.115,th_1mh4_unw_bern_B1000-seed3
NB-Bernoulli,1000,4,33.023218236123114,0.76,0.2,0.04,0.0,0.0,19.719820663127543,135.785,th_1mh4_unw_bern_B1000-seed4
NB-Bernoulli,1000,5,-47.955803643558085,0.0,0.275,0.725,0.0,0.0,13.21837357443561,12.615,th_1mh4_unw_bern_B1000-seed5
NB-Bernoulli,1000,6,23.819766493008675,0.675,0.29,0.035,0.0,0.0,18.52999846172413,130.465,th_1mh4_unw_bern_B1000-seed6
NB-Bernoulli,1000,7,28.52538596746891,0.68,0.275,0.045,0.0,0.0,23.425701749780206,121.235,th_1mh4_unw_bern_B1000-seed7
NB-Bernoulli,1000,8,43.39748469589222,0.86,0.14,0.0,0.0,0.0,22.25562458055725,148.185,th_1mh4_unw_bern_B1000-seed8
NB-Bernoulli,1000,9,35.31078919000878,0.865,0.135,0.0,0.0,0.0,18.128958828576618,202.355,th_1mh4_unw_bern_B1000-seed9
NB-Bernoulli,1000,10,16.925920433253054,0.65,0.335,0.015,0.0,0.0,19.031438382705204,163.585,th_1mh4_unw_bern_B1000-seed10
